name,location,team,division,wins,losses,era,games_played,games_started,quality_starts,complete_games,shutouts,saves,holds,blown_saves,innings_pitched,total_batters_faced,hits,runs,earned_runs,home_runs,walks,intentional_walks,hbp,wild_pitches,balks,strikeouts
Cristian Javier,Houston,Astros,AL West,3,1,3.89,7,7,3,0,0,0,0,0,34.2,150,30,16,15,4,19,0,0,1,0,27
Kody Funderburk,Minnesota,Twins,AL Central,1,0,6.49,27,0,0,0,0,1,5,0,34.2,161,41,26,25,4,15,0,5,4,1,32
Steven Wilson,Chicago,White Sox,AL Central,1,6,5.71,40,0,0,0,0,0,9,1,34.2,163,29,29,22,8,26,6,3,1,1,34
A.J. Minter,Atlanta,Braves,NL East,5,4,2.62,39,0,0,0,0,1,9,3,34.1,134,24,10,10,6,11,1,1,0,0,35
Chris Roycroft,St. Louis,Cardinals,NL Central,1,2,4.19,27,0,0,0,0,0,1,1,34.1,155,31,19,16,2,17,0,4,1,0,33
Tanner Gordon,Colorado,Rockies,NL West,0,6,8.65,8,8,1,0,0,0,0,0,34.1,160,53,34,33,10,6,0,2,0,0,26
Michel Otañez,Sacramento,Athletics,AL West,1,0,3.44,36,0,0,0,0,1,6,2,34,151,27,15,13,2,20,0,3,6,0,55
J.T. Ginn,Sacramento,Athletics,AL West,1,1,4.24,8,6,1,0,0,0,0,0,34,142,36,16,16,4,9,1,2,0,0,29
Adam Mazur,San Diego,Padres,NL West,1,3,7.49,8,8,1,0,0,0,0,0,33.2,158,40,28,28,6,21,0,2,0,0,22
Marco Gonzales,Pittsburgh,Pirates,NL Central,1,1,4.54,7,7,2,0,0,0,0,0,33.2,151,43,17,17,5,11,0,0,0,0,23
Jeffrey Springs,Tampa Bay,Rays,AL East,2,2,3.27,7,7,1,0,0,0,0,0,33,142,34,12,12,5,11,0,1,0,0,37
Ryan Burr,Toronto,Blue Jays,AL East,0,2,4.13,34,4,0,0,0,0,3,1,32.2,140,29,16,15,4,12,0,1,0,0,47
Scott McGough,Arizona,Diamondbacks,NL West,1,3,7.44,26,2,0,0,0,0,1,2,32.2,150,34,30,27,6,21,0,1,1,1,25
Joe Kelly,Los Angeles,Dodgers,NL West,1,1,4.78,35,0,0,0,0,0,13,2,32,143,31,19,17,4,16,1,5,3,2,35
Jake Diekman,New York,Mets,NL East,2,3,5.63,43,0,0,0,0,4,8,3,32,145,23,24,20,7,24,0,4,2,0,40
Jose A. Ferrer,Washington,Nationals,NL East,1,0,3.38,31,0,0,0,0,1,6,1,32,129,27,12,12,1,6,0,2,1,1,25
Kyle Tyler,Miami,Marlins,NL East,0,2,5.4,8,7,0,0,0,0,0,0,31.2,142,37,19,19,4,18,0,1,1,0,25
Julian Aguiar,Cincinnati,Reds,NL Central,2,1,6.25,7,7,2,0,0,0,0,0,31.2,140,30,22,22,8,12,1,5,1,0,19
Angel Chivilli,Colorado,Rockies,NL West,2,3,4.55,30,0,0,0,0,1,7,2,31.2,133,31,17,16,7,10,0,1,0,0,28
Michael Kelly,Sacramento,Athletics,AL West,3,2,2.59,28,0,0,0,0,0,4,0,31.1,128,27,11,9,2,10,1,3,1,0,22
Josh Fleming,Pittsburgh,Pirates,NL Central,1,1,4.02,25,3,0,0,0,1,1,0,31.1,138,34,18,14,3,14,0,1,1,0,17
Jordan Leasure,Chicago,White Sox,AL Central,0,2,6.32,33,0,0,0,0,2,9,4,31.1,142,32,22,22,6,18,0,1,3,0,26
Robbie Ray,San Francisco,Giants,NL West,3,2,4.7,7,7,2,0,0,0,0,0,30.2,129,20,16,16,6,15,0,6,4,0,43
Rhett Lowder,Cincinnati,Reds,NL Central,2,2,1.17,6,6,1,0,0,0,0,0,30.2,128,25,4,4,0,14,0,0,0,0,22
Davis Daniel,"""Los Angeles""",Angels,AL West,1,4,6.23,6,6,1,0,0,0,0,0,30.1,134,39,22,21,5,6,0,1,0,1,28
