name,location,team,division,wins,losses,era,games_played,games_started,quality_starts,complete_games,shutouts,saves,holds,blown_saves,innings_pitched,total_batters_faced,hits,runs,earned_runs,home_runs,walks,intentional_walks,hbp,wild_pitches,balks,strikeouts
Tyler Glasnow,Los Angeles,Dodgers,NL West,9,6,3.49,22,22,14,0,0,0,0,0,134,522,92,53,52,15,35,0,0,12,1,168
Albert Suárez,Baltimore,Orioles,AL East,9,7,3.7,32,24,7,0,0,0,1,1,133.2,565,130,56,55,17,43,1,3,2,1,108
Simeon Woods Richardson,Minnesota,Twins,AL Central,5,5,4.17,28,28,7,0,0,0,0,0,133.2,569,125,63,62,16,48,0,3,3,0,117
Paul Skenes,Pittsburgh,Pirates,NL Central,11,3,1.96,23,23,15,0,0,0,0,0,133,514,94,31,29,10,32,0,6,2,1,170
Kyle Hendricks,Chicago,Cubs,NL Central,4,12,5.92,29,24,5,0,0,0,0,0,130.2,567,147,88,86,21,43,0,3,0,0,87
Ryan Pepiot,Tampa Bay,Rays,AL East,8,8,3.6,26,26,9,0,0,0,0,0,130,539,102,58,52,17,48,0,7,4,0,142
Dean Kremer,Baltimore,Orioles,AL East,8,10,4.1,24,24,9,0,0,0,0,0,129.2,553,110,72,59,18,51,0,3,1,1,123
Alec Marsh,Kansas City,Royals,AL Central,9,9,4.53,26,25,5,0,0,0,0,0,129,548,123,70,65,19,39,1,11,3,1,123
Joey Estes,Sacramento,Athletics,AL West,7,9,5.01,25,24,8,1,1,0,1,0,127.2,543,130,73,71,23,27,1,10,3,0,92
Kyle Harrison,San Francisco,Giants,NL West,7,7,4.56,24,24,9,0,0,0,0,0,124.1,532,125,65,63,18,42,0,7,2,1,118
Jonathan Cannon,Chicago,White Sox,AL Central,5,10,4.49,23,21,7,0,0,1,0,0,124.1,522,125,65,62,18,40,0,4,2,1,91
Spencer Schwellenbach,Atlanta,Braves,NL East,8,7,3.35,21,21,12,0,0,0,0,0,123.2,500,106,49,46,14,23,1,6,3,0,127
Jared Jones,Pittsburgh,Pirates,NL Central,6,8,4.14,22,22,11,0,0,0,0,0,121.2,504,106,60,56,18,39,1,5,3,0,132
Andre Pallante,St. Louis,Cardinals,NL Central,8,8,3.78,29,20,7,0,0,0,1,0,121.1,509,110,55,51,8,48,0,2,12,2,94
Bryan Woo,Seattle,Mariners,AL West,9,3,2.89,22,22,10,0,0,0,0,0,121.1,472,96,41,39,14,13,0,3,0,0,101
David Peterson,New York,Mets,NL East,10,3,2.9,21,21,12,0,0,0,0,0,121,510,110,44,39,8,46,0,7,4,1,101
Lance Lynn,St. Louis,Cardinals,NL Central,7,4,3.84,23,23,7,0,0,0,0,0,117.1,511,113,64,50,16,44,0,4,3,0,109
Jordan Montgomery,Arizona,Diamondbacks,NL West,8,7,6.23,25,21,6,0,0,1,0,0,117,532,149,83,81,14,44,3,2,7,0,83
Grayson Rodriguez,Baltimore,Orioles,AL East,13,4,3.86,20,20,11,0,0,0,0,0,116.2,491,109,52,50,15,36,0,5,6,0,130
Nick Lodolo,Cincinnati,Reds,NL Central,9,6,4.76,21,21,8,0,0,0,0,0,115.1,493,101,62,61,13,37,0,18,1,0,122
Kyle Freeland,Colorado,Rockies,NL West,5,8,5.24,21,21,10,0,0,0,0,0,113.1,490,134,73,66,22,26,0,1,1,0,85
José Soriano,"""Los Angeles""",Angels,AL West,6,7,3.42,22,20,9,0,0,0,1,0,113,468,91,50,43,8,45,1,9,7,0,97
Kenta Maeda,Detroit,Tigers,AL Central,3,7,6.09,29,17,2,0,0,0,0,0,112.1,485,124,80,76,22,31,0,5,3,0,96
Reese Olson,Detroit,Tigers,AL Central,4,8,3.53,22,22,9,0,0,0,0,0,112.1,465,100,51,44,7,33,0,4,4,0,101
Jordan Hicks,San Francisco,Giants,NL West,4,7,4.1,29,20,3,0,0,1,2,0,109.2,481,112,54,50,12,47,0,9,7,2,96
José Ureña,Texas,Rangers,AL West,5,8,3.8,33,9,3,0,0,1,1,0,109,463,105,51,46,13,39,2,4,3,0,70
Tyler Alexander,Tampa Bay,Rays,AL East,6,5,5.1,23,9,1,0,0,0,0,0,107.2,455,110,61,61,23,24,1,5,0,0,90
Bryse Wilson,Milwaukee,Brewers,NL Central,5,4,4.04,34,9,2,0,0,0,0,0,104.2,442,102,49,47,20,31,0,4,3,1,82
Blake Snell,San Francisco,Giants,NL West,5,3,3.12,20,20,10,1,1,0,0,0,104,418,65,38,36,6,44,0,1,8,0,145
Bowden Francis,Toronto,Blue Jays,AL East,8,5,3.3,27,13,7,0,0,0,0,0,103.2,408,74,41,38,17,22,0,7,0,1,92
Carlos Carrasco,Cleveland,Guardians,AL Central,3,10,5.64,21,21,4,0,0,0,0,0,103.2,447,112,68,65,19,33,0,5,5,0,89
Jon Gray,Texas,Rangers,AL West,5,6,4.47,23,19,7,0,0,0,0,0,102.2,439,107,54,51,11,28,1,0,1,0,86
Casey Mize,Detroit,Tigers,AL Central,2,6,4.49,22,20,6,0,0,0,0,0,102.1,452,121,57,51,11,29,0,2,2,1,78
