name,location,team,division,games_played,at_bats,plate_appearances,hits,singles,doubles,triples,home_runs,runs_scored,rbi,walks,intentional_walks,strikeouts,hbp,sac_fly,sac_hit,gdp,stolen_bases,caught_stealing,batting_average
Dylan Carlson,Tampa Bay,Rays,AL East,37,114,127,25,20,2,0,3,7,14,10,0,38,3,0,0,0,2,0,0.219
Mike Trout,"""Los Angeles""",Angels,AL West,29,109,126,24,11,1,2,10,17,14,16,1,27,1,0,0,0,6,1,0.22
Curt Casali,San Francisco,Giants,NL West,41,108,125,21,17,3,0,1,12,8,13,0,22,2,0,2,3,0,0,0.194
Michael Stefanic,"""Los Angeles""",Angels,AL West,40,110,124,24,20,4,0,0,8,8,10,0,20,3,0,1,5,0,0,0.218
Brett Harris,Sacramento,Athletics,AL West,36,103,123,15,9,3,0,3,15,12,17,0,25,2,1,0,3,0,3,0.146
Christian Encarnacion-St...,Cincinnati,Reds,NL Central,29,116,123,22,14,6,0,2,13,16,4,0,35,1,2,0,4,0,0,0.19
Robbie Grossman,Texas,Rangers,AL West,46,105,122,25,18,4,0,3,13,10,16,0,25,0,1,0,5,1,0,0.238
Henry Davis,Pittsburgh,Pirates,NL Central,37,104,122,15,10,4,0,1,9,5,13,0,45,1,2,1,1,0,0,0.144
Brooks Baldwin,Chicago,White Sox,AL Central,33,114,121,24,16,6,0,2,9,8,6,0,31,0,0,1,1,4,0,0.211
Kody Clemens,Philadelphia,Phillies,NL East,44,114,120,25,10,9,1,5,17,18,5,0,29,1,0,0,2,0,0,0.219
José Abreu,Houston,Astros,AL West,35,113,120,14,10,2,0,2,10,7,4,0,28,2,1,0,4,0,0,0.124
Paul DeJong,Kansas City,Royals,AL Central,37,108,119,24,15,3,0,6,15,15,9,0,44,0,2,0,1,0,1,0.222
Trey Sweeney,Detroit,Tigers,AL Central,36,110,119,24,15,5,0,4,11,17,7,0,32,1,1,0,3,2,0,0.218
Jerar Encarnacion,San Francisco,Giants,NL West,35,113,119,28,18,5,0,5,13,19,5,0,34,0,1,0,0,1,0,0.248
Cristian Pache,Philadelphia,Phillies,NL East,50,104,118,21,15,5,1,0,9,9,13,0,43,0,1,0,1,0,0,0.202
Joey Loperfido,Houston,Astros,AL West,38,106,118,25,17,5,1,2,11,16,7,0,43,3,1,1,1,2,1,0.236
Luis Guillorme,"""Los Angeles""",Angels,AL West,51,104,117,24,18,5,1,0,6,3,11,0,23,0,1,1,4,1,2,0.231
Jose Herrera,Arizona,Diamondbacks,NL West,42,97,114,22,16,4,1,1,11,13,9,0,27,0,1,7,1,0,0,0.227
Heston Kjerstad,Baltimore,Orioles,AL East,39,99,114,25,19,2,0,4,8,14,10,2,33,5,0,0,0,1,0,0.253
Derek Hill,Miami,Marlins,NL East,32,107,114,25,16,4,1,4,11,18,2,0,39,2,1,2,1,4,1,0.234
Vaughn Grissom,Boston,Red Sox,AL East,31,105,114,20,17,3,0,0,10,6,7,0,24,1,1,0,3,2,0,0.19
Casey Schmitt,San Francisco,Giants,NL West,40,107,113,27,16,4,1,6,11,16,4,0,25,1,1,0,2,0,0,0.252
Alex Call,Washington,Nationals,NL East,30,99,113,34,22,9,0,3,15,14,12,0,19,2,0,0,2,5,1,0.343
Austin Slater,San Francisco,Giants,NL West,43,90,112,18,16,1,0,1,12,9,16,0,31,3,3,0,3,2,1,0.2
Ryan Noda,Sacramento,Athletics,AL West,36,95,111,13,8,4,0,1,8,4,14,0,37,1,0,1,0,0,0,0.137
Estevan Florial,Cleveland,Guardians,AL Central,36,98,111,17,6,6,2,3,11,11,11,0,41,1,0,1,2,2,1,0.173
Carson Kelly,Texas,Rangers,AL West,31,102,110,24,17,5,0,2,11,8,8,0,15,0,0,0,3,0,0,0.235
Luis Urías,Seattle,Mariners,AL West,41,94,109,18,7,7,0,4,11,16,9,0,34,6,0,0,2,0,0,0.191
Dane Myers,Miami,Marlins,NL East,44,95,108,25,15,6,1,3,17,19,8,0,36,3,2,0,0,4,1,0.263
Bryan Ramos,Chicago,White Sox,AL Central,32,99,108,20,13,4,0,3,13,11,7,0,22,0,1,0,3,0,2,0.202
Sean Bouchard,Colorado,Rockies,NL West,31,91,108,17,9,7,0,1,14,8,12,0,33,2,2,1,0,4,0,0.187
Miles Mastrobuoni,Chicago,Cubs,NL Central,50,98,106,19,16,3,0,0,9,4,7,0,17,0,1,0,1,2,0,0.194
Niko Kavadas,"""Los Angeles""",Angels,AL West,30,93,106,17,11,2,0,4,11,8,11,0,41,2,0,0,0,1,0,0.183
Trevor Story,Boston,Red Sox,AL East,26,94,106,24,15,7,0,2,8,10,11,2,33,1,0,0,2,6,3,0.255
Nick Allen,Sacramento,Athletics,AL West,41,97,105,17,12,4,0,1,6,4,5,0,20,0,0,3,0,0,0,0.175
Oliver Dunn,Milwaukee,Brewers,NL Central,41,95,104,21,16,2,2,1,11,7,6,0,40,2,0,1,1,3,0,0.221
Tommy Pham,Kansas City,Royals,AL Central,23,101,104,23,17,3,1,2,9,8,3,0,27,0,0,0,1,1,0,0.228
Alek Thomas,Arizona,Diamondbacks,NL West,39,95,103,18,9,5,1,3,13,17,7,0,17,0,0,1,7,4,1,0.189
Jacob Wilson,Sacramento,Athletics,AL West,28,92,103,23,19,2,2,0,11,3,8,0,10,1,1,1,4,0,0,0.25
Eloy Jiménez,Baltimore,Orioles,AL East,33,95,100,22,16,5,0,1,7,7,4,0,23,1,0,0,2,0,0,0.232
