name,location,team,division,games_played,at_bats,plate_appearances,hits,singles,doubles,triples,home_runs,runs_scored,rbi,walks,intentional_walks,strikeouts,hbp,sac_fly,sac_hit,gdp,stolen_bases,caught_stealing,batting_average
Ezequiel Duran,Texas,Rangers,AL West,92,268,285,66,52,11,0,3,26,20,14,0,63,2,1,0,6,1,2,0.246
Kevin Pillar,"""Los Angeles""",Angels,AL West,83,259,282,61,39,14,1,7,37,41,12,0,61,9,2,0,10,10,3,0.236
Joey Bart,Pittsburgh,Pirates,NL Central,80,253,282,67,43,11,0,13,38,45,22,0,73,6,1,0,8,0,0,0.265
Isiah Kiner-Falefa,Toronto,Blue Jays,AL East,83,257,281,75,58,8,2,7,32,33,13,0,37,6,2,3,9,3,1,0.292
Jacob Stallings,Colorado,Rockies,NL West,82,243,281,64,37,17,1,9,31,36,27,1,65,9,1,1,10,0,0,0.263
Gary Sánchez,Milwaukee,Brewers,NL Central,89,245,280,54,35,7,1,11,30,37,27,0,76,5,3,0,9,0,0,0.22
Randal Grichuk,Arizona,Diamondbacks,NL West,106,254,279,74,40,20,2,12,40,46,20,0,46,3,2,0,5,0,0,0.291
Tyler Nevin,Sacramento,Athletics,AL West,87,245,278,50,33,10,0,7,22,20,25,0,64,5,3,0,5,1,0,0.204
Dominic Smith,Boston,Red Sox,AL East,84,249,278,59,33,20,0,6,29,34,25,0,65,4,0,0,7,1,1,0.237
Vidal Bruján,Miami,Marlins,NL East,102,248,278,55,37,14,2,2,32,16,25,3,54,4,0,1,5,5,6,0.222
Jack Suwinski,Pittsburgh,Pirates,NL Central,88,247,277,45,28,8,0,9,29,26,27,2,79,1,1,1,3,9,1,0.182
Nick Gordon,Miami,Marlins,NL East,95,260,275,59,39,11,1,8,29,32,11,0,67,1,3,0,5,5,5,0.227
Amed Rosario,Tampa Bay,Rays,AL East,76,264,275,81,59,17,3,2,22,26,7,0,48,3,1,0,9,9,4,0.307
Edmundo Sosa,Philadelphia,Phillies,NL East,90,249,274,64,41,12,4,7,39,31,13,0,66,8,2,1,5,7,1,0.257
Victor Caratini,Houston,Astros,AL West,87,245,274,66,49,8,1,8,30,30,23,1,53,3,3,0,6,0,1,0.269
Brett Wisely,San Francisco,Giants,NL West,91,252,272,60,42,13,1,4,25,31,13,0,65,2,3,2,3,2,3,0.238
Jonah Bride,Miami,Marlins,NL East,71,232,272,64,43,10,0,11,30,39,30,1,55,3,7,0,9,0,1,0.276
Chas McCormick,Houston,Astros,AL West,94,242,267,51,39,6,1,5,32,27,17,0,72,4,3,1,3,8,2,0.211
Sean Murphy,Atlanta,Braves,NL East,72,233,264,45,29,5,1,10,19,25,27,1,67,3,1,0,7,0,0,0.193
Kyle Higashioka,San Diego,Padres,NL West,84,246,263,54,26,10,1,17,29,45,15,0,74,0,1,1,3,2,0,0.22
Victor Robles,Seattle,Mariners,AL West,77,229,262,75,51,20,0,4,41,26,16,0,44,10,2,5,2,30,1,0.328
Matt Wallner,Minnesota,Twins,AL Central,75,220,261,57,26,17,1,13,26,37,24,0,95,16,1,0,2,3,0,0.259
David Peralta,San Diego,Padres,NL West,91,236,260,63,44,11,0,8,35,28,22,0,54,2,0,0,3,2,0,0.267
Joey Gallo,Washington,Nationals,NL East,76,223,260,36,17,9,0,10,24,27,32,0,102,4,1,0,1,3,1,0.161
Iván Herrera,St. Louis,Cardinals,NL Central,72,229,259,69,51,12,1,5,37,27,25,0,53,2,2,0,3,5,0,0.301
Austin Martin,Minnesota,Twins,AL Central,93,233,257,59,39,18,1,1,41,16,20,0,47,2,0,2,4,7,3,0.253
Willie Calhoun,"""Los Angeles""",Angels,AL West,68,229,254,56,35,16,0,5,26,20,23,1,31,1,1,0,5,0,1,0.245
Taylor Walls,Tampa Bay,Rays,AL East,84,218,252,40,31,5,3,1,27,14,31,0,67,0,3,0,3,16,4,0.183
Eloy Jiménez,Chicago,White Sox,AL Central,65,229,249,55,41,9,0,5,18,16,18,1,47,1,1,0,11,3,0,0.24
Juan Yepez,Washington,Nationals,NL East,62,226,249,64,43,15,0,6,32,26,18,0,42,1,3,1,9,2,1,0.283
Elehuris Montero,Colorado,Rockies,NL West,67,224,247,46,32,10,0,4,23,28,20,0,56,0,3,0,7,0,0,0.205
Chris Taylor,Los Angeles,Dodgers,NL West,87,213,246,43,31,7,1,4,28,23,28,0,76,2,2,1,5,5,1,0.202
Andy Ibáñez,Detroit,Tigers,AL Central,99,224,244,54,39,9,1,5,30,32,15,0,63,3,2,0,2,2,3,0.241
Yasmani Grandal,Pittsburgh,Pirates,NL Central,72,215,243,49,30,10,0,9,26,27,24,0,46,0,1,3,7,1,0,0.228
Triston Casas,Boston,Red Sox,AL East,63,212,243,51,30,8,0,13,28,32,30,4,77,1,0,0,6,0,1,0.241
Wilmer Flores,San Francisco,Giants,NL West,71,214,242,44,28,12,0,4,19,26,20,1,33,3,5,0,5,0,0,0.206
Noelvi Marte,Cincinnati,Reds,NL Central,66,229,242,48,35,9,0,4,24,18,9,0,75,3,1,0,1,9,3,0.21
Kyle Farmer,Minnesota,Twins,AL Central,107,215,242,46,27,13,1,5,26,25,19,1,49,6,2,0,6,3,5,0.214
Dominic Fletcher,Chicago,White Sox,AL Central,72,223,241,46,37,8,0,1,14,17,11,1,58,3,1,2,5,0,0,0.206
Tim Anderson,Miami,Marlins,NL East,65,234,241,50,47,3,0,0,16,9,7,0,68,0,0,0,6,4,4,0.214
Randy Arozarena,Seattle,Mariners,AL West,54,199,239,46,27,14,0,5,32,23,28,0,68,11,1,0,4,4,3,0.231
Anthony Rendon,"""Los Angeles""",Angels,AL West,57,206,238,45,35,10,0,0,21,14,23,0,35,5,4,0,4,6,1,0.218
Eddie Rosario,Washington,Nationals,NL East,67,219,235,40,22,11,0,7,26,26,13,0,54,0,2,1,4,8,1,0.183
Nick Senzel,Washington,Nationals,NL East,64,206,235,43,26,10,0,7,25,18,27,1,53,1,0,0,6,1,3,0.209
Jose Trevino,New York,Yankees,AL East,74,209,234,45,32,5,0,8,26,28,20,0,41,2,2,1,12,1,0,0.215
Stuart Fairchild,Cincinnati,Reds,NL Central,94,209,233,45,29,8,0,8,33,30,17,0,60,4,1,2,1,13,1,0.215
James McCann,Baltimore,Orioles,AL East,66,214,233,50,33,9,0,8,27,31,13,0,56,2,4,0,3,1,0,0.234
Garrett Hampson,Kansas City,Royals,AL Central,113,213,231,49,35,13,1,0,16,16,14,0,59,0,2,2,3,7,2,0.23
Justyn-Henry Malloy,Detroit,Tigers,AL Central,71,202,230,41,25,7,1,8,18,21,23,0,85,3,2,0,2,1,1,0.203
Nelson Velázquez,Kansas City,Royals,AL Central,64,205,230,41,24,8,1,8,31,27,19,0,61,3,3,0,6,2,0,0.2
Emmanuel Rivera,Miami,Marlins,NL East,97,201,229,43,35,6,1,1,15,15,20,0,51,4,3,1,5,2,0,0.214
DJ LeMahieu,New York,Yankees,AL East,67,201,228,41,34,5,0,2,19,26,19,0,35,1,6,1,13,0,1,0.204
Danny Jansen,Toronto,Blue Jays,AL East,63,198,228,42,23,13,0,6,27,18,25,0,42,2,3,0,1,0,0,0.212
Ramón Laureano,Atlanta,Braves,NL East,67,216,226,64,40,13,1,10,28,29,8,0,64,2,0,0,4,5,2,0.296
Addison Barger,Toronto,Blue Jays,AL East,69,208,225,41,23,11,0,7,20,28,14,0,60,1,1,0,1,2,0,0.197
Hunter Goodman,Colorado,Rockies,NL West,70,211,224,40,18,9,0,13,24,36,8,0,64,3,2,0,5,1,1,0.19
Garrett Mitchell,Milwaukee,Brewers,NL Central,69,196,224,50,27,12,3,8,33,21,25,0,71,1,0,2,1,11,4,0.255
Enmanuel Valdez,Boston,Red Sox,AL East,76,201,223,43,25,12,0,6,23,28,17,0,53,0,4,1,4,1,1,0.214
Ronald Acuña Jr.,Atlanta,Braves,NL East,49,192,222,48,35,8,1,4,38,15,27,0,53,3,0,0,4,16,3,0.25
Daniel Schneemann,Cleveland,Guardians,AL Central,73,193,221,42,25,10,2,5,17,22,25,0,70,0,3,0,1,3,2,0.218
Pedro Pagés,St. Louis,Cardinals,NL Central,68,202,218,48,36,3,2,7,19,27,13,0,58,0,2,1,7,2,0,0.238
Kevin Kiermaier,Toronto,Blue Jays,AL East,82,200,217,39,26,7,2,4,24,18,10,0,66,1,1,5,3,5,0,0.195
Romy Gonzalez,Boston,Red Sox,AL East,89,199,216,53,36,10,1,6,25,29,12,0,58,1,4,0,5,11,3,0.266
Isiah Kiner-Falefa,Pittsburgh,Pirates,NL Central,50,208,215,50,37,10,2,1,21,10,3,0,41,4,0,0,3,8,1,0.24
Tyler Soderstrom,Sacramento,Athletics,AL West,61,189,213,44,25,10,0,9,18,26,20,1,53,3,1,0,7,0,0,0.233
Isaac Paredes,Chicago,Cubs,NL Central,52,179,212,40,31,6,0,3,23,25,24,0,37,5,4,0,4,1,0,0.223
Trey Lipscomb,Washington,Nationals,NL East,61,190,211,38,34,3,0,1,20,10,16,0,40,2,1,1,7,11,2,0.2
Leo Jiménez,Toronto,Blue Jays,AL East,63,179,210,41,26,11,0,4,18,19,12,0,59,16,3,0,6,0,0,0.229
Trent Grisham,New York,Yankees,AL East,76,179,209,34,17,8,0,9,21,31,22,1,57,4,2,1,5,1,1,0.19
Jorge Mateo,Baltimore,Orioles,AL East,68,192,208,44,23,14,2,5,30,18,10,0,48,1,3,2,3,13,2,0.229
Jackson Holliday,Baltimore,Orioles,AL East,60,190,208,36,25,4,2,5,28,23,15,0,69,2,1,0,1,4,0,0.189
Travis Jankowski,Texas,Rangers,AL West,104,190,207,38,32,5,0,1,19,12,12,0,44,5,0,0,3,11,1,0.2
Carson Kelly,Detroit,Tigers,AL Central,60,179,203,43,31,4,1,7,21,29,17,0,40,6,1,0,3,0,0,0.24
Jhonkensy Noel,Cleveland,Guardians,AL Central,67,179,198,39,18,7,1,13,25,28,13,0,63,5,1,0,1,0,0,0.218
Jason Heyward,Los Angeles,Dodgers,NL West,63,173,197,36,18,10,2,6,25,28,17,0,36,4,3,0,3,4,0,0.208
Edward Olivares,Pittsburgh,Pirates,NL Central,55,174,196,39,30,4,0,5,22,23,16,0,37,2,4,0,3,1,0,0.224
Ty France,Cincinnati,Reds,NL Central,52,179,195,45,30,10,0,5,18,20,10,0,31,2,4,0,5,1,0,0.251
DJ Stewart,New York,Mets,NL East,74,158,194,28,19,4,0,5,16,19,31,0,48,4,1,0,5,1,0,0.177
Jazz Chisholm Jr.,New York,Yankees,AL East,46,176,191,48,30,7,0,11,28,23,14,0,45,0,1,0,2,18,2,0.273
Christopher Morel,Tampa Bay,Rays,AL East,49,173,190,33,24,4,2,3,13,9,14,1,56,2,1,0,4,1,2,0.191
Justin Turner,Seattle,Mariners,AL West,48,159,190,42,30,7,0,5,22,24,20,2,35,7,4,0,1,0,0,0.264
Corey Julks,Chicago,White Sox,AL Central,66,173,189,37,27,7,0,3,17,14,15,0,50,0,1,0,6,5,2,0.214
Dominic Canzone,Seattle,Mariners,AL West,67,168,188,33,18,7,0,8,20,17,18,2,53,0,2,0,5,1,0,0.196
